,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
218,Jacob Markstrom\marksja02,2011,2020,G,261,0,8,8,0,14,261,104,114,31,.910,2.81,Gavle,1990-01-31,
219,Tony Martensson\marteto01,2004,2004,C,6,1,1,2,-2,0,,,,,,,Upplands Vasby,1980-06-23,
220,Bjorn Melin\melinbj01,2007,2007,RW,3,1,0,1,-1,0,,,,,,,Jonkoping,1981-07-04,
221,Roger Melin\melinro01,1981,1982,LW,3,0,0,0,-1,0,,,,,,,Enkoping,1956-04-25,
222,Jan Mertzig\mertzja01,1999,1999,D,23,0,2,2,-5,8,,,,,,,Huddinge,1970-07-18,
223,Fredrik Modin\modinfr01,1997,2011,LW,898,232,230,462,-11,453,,,,,,,Sundsvall,1974-10-08,
224,Lars Molin\molinla01,1982,1984,LW,172,33,65,98,-29,37,,,,,,,Ornskoldsvik,1956-05-07,
225,Oscar Moller\molleos01,2009,2011,C,87,12,14,26,-10,22,,,,,,,Stockholm,1989-01-22,
226,Johan Motin\motinjo01,2010,2010,D,1,0,0,0,-1,0,,,,,,,Karlskoga,1989-10-10,
227,Douglas Murray\murrado01,2006,2014,D,518,7,57,64,19,412,,,,,,,Bromma,1980-03-12,
228,Markus Naslund\nasluma02,1994,2009,LW,1117,395,474,869,6,736,,,,,,,Ornskoldsvik,1973-07-30,
229,Mats Naslund\nasluma01,1983,1995,LW,651,251,383,634,119,111,,,,,,,Timra,1959-10-31,
230,Patrik Nemeth\nemetpa01,2014,2020,D,290,5,41,46,16,152,,,,,,,Stockholm,1992-02-08,
231,Marcus Nilson\nilsoma01,1999,2008,LW,521,67,101,168,5,270,,,,,,,Balsta,1978-03-01,
232,Anders Nilsson\nilssan01,2012,2020,G,161,0,3,3,0,6,161,59,74,15,.907,3.06,Lulea,1990-03-19,
233,Jacob Nilsson\nilssja01,2019,2019,C,2,0,0,0,-2,0,,,,,,,Morrum,1993-10-12,
234,Kent Nilsson\nilsske01,1980,1995,C,553,264,422,686,-25,116,,,,,,,Nynashamn,1956-08-31,
235,Ulf Nilsson\nilssul01,1979,1983,C,170,57,112,169,30,85,,,,,,,Nynashamn,1950-05-11,
236,Cristopher Nilstorp\nihlsch01,2013,2014,G,6,0,0,0,0,0,6,1,3,1,.890,3.26,Burlov,1984-02-16,
237,Janne Niskala\niskaja01,2009,2009,D,6,1,2,3,0,6,,,,,,,Vasteras,1981-09-22,
238,Niklas Nordgren\nordgni01,2006,2006,LW,58,4,2,6,-8,34,,,,,,,Ornskoldsvik,1979-06-28,
239,Robert Nordmark\nordmro01,1988,1991,D,236,13,70,83,-36,254,,,,,,,Lulea,1962-08-20,
240,Jonas Nordqvist\nordqjo01,2007,2007,C,3,0,2,2,1,2,,,,,,,Leksand,1982-04-26,
241,Joakim Nordstrom\nordsjo02,2014,2020,C,386,31,36,67,-35,60,,,,,,,Stockholm,1992-02-25,
242,Peter Nordstrom\nordspe01,1999,1999,C,2,0,0,0,-1,0,,,,,,,Munkfors,1974-07-26,
243,Mattias Norstrom\norstma01,1994,2008,D,903,18,147,165,8,661,,,,,,,Stockholm,1972-01-02,
244,Joakim Nygard\nygarjo01,2020,2020,F,30,2,6,8,0,8,,,,,,,Stockholm,1993-01-08,
245,Michael Nylander\nylanmi01,1993,2009,C,920,209,470,679,75,468,,,,,,,Stockholm,1972-10-03,
246,Gustav Nyquist\nyquigu01,2012,2020,RW,546,141,196,337,9,142,,,,,,,Halmstad,1989-09-01,
247,Bob Nystrom\nystrbo01,1973,1986,RW,900,235,278,513,110,1248,,,,,,,Stockholm,1952-10-10,
248,Johnny Oduya\oduyajo01,2007,2018,D,850,41,149,190,63,372,,,,,,,Stockholm,1981-10-01,
249,Mattias Ohlund\ohlunma01,1998,2011,D,909,93,250,343,-6,885,,,,,,,Pitea,1976-09-09,
250,Fredrik Olausson\olausfr01,1987,2003,D,1022,147,434,581,-29,452,,,,,,,Dadesjo,1966-10-05,
251,Gustav Olofsson\olofsgu01,2016,2020,D,59,0,11,11,-5,18,,,,,,,Boras,1994-12-01,
252,Victor Olofsson\olofsvi01,2019,2020,RW,48,18,21,39,0,6,,,,,,,Ornskoldsvik,1995-07-18,
253,Christer Olsson\olssoch01,1996,1997,D,56,4,12,16,-10,24,,,,,,,Arboga,1970-07-24,
254,Jimmie Olvestad\olvesji01,2002,2003,LW,111,3,14,17,1,40,,,,,,,Stockholm,1980-02-16,
255,Linus Omark\omarkli01,2011,2014,LW,79,8,24,32,-27,40,,,,,,,Overtornea,1987-02-05,
256,Magnus Paajarvi\paajama01,2011,2019,LW,467,62,62,124,-54,78,,,,,,,Norrkoping,1991-04-12,
257,Samuel Pahlsson\pahlssa01,2001,2012,C,798,68,131,199,-70,356,,,,,,,Ange,1977-12-17,
258,Joel Persson\perssjo02,2020,2020,D,13,0,2,2,-1,2,,,,,,,Kristianstad,1994-03-04,
259,Ricard Persson\perssri01,1996,2002,D,229,10,44,54,16,262,,,,,,,Ostersund,1969-08-24,
260,Stefan Persson\perssst01,1978,1986,D,622,52,317,369,176,574,,,,,,,Umea,1954-12-22,
261,Andre Petersson\peteran02,2012,2012,RW,1,0,0,0,0,0,,,,,,,Olofstrom,1990-09-11,
262,Elias Pettersson\petteel01,2019,2020,C,117,49,65,114,9,24,,,,,,,Sundsvall,1998-11-12,
263,Jorgen Pettersson\pettejo01,1981,1986,LW,435,174,192,366,-10,117,,,,,,,Gothenburg,1956-07-11,
264,Marcus Pettersson\pettema01,2018,2020,D,151,4,40,44,26,91,,,,,,,Skelleftea,1996-05-08,
265,Lawrence Pilut\pilutla01,2019,2020,D,36,1,5,6,-11,20,,,,,,,Tingsryd,1995-12-30,
266,Peter Popovic\popovpe01,1994,2001,D,485,10,63,73,-1,291,,,,,,,Koping,1968-02-10,
267,David Printz\printda01,2006,2007,D,13,0,0,0,-3,4,,,,,,,Stockholm,1980-07-24,
268,Jesse Puljujarvi\puljuje01,2017,2019,RW,139,17,20,37,-10,40,,,,,,,Alvkarleby,1998-05-07,
269,Marcus Ragnarsson\ragnama01,1996,2004,D,632,37,140,177,-8,482,,,,,,,Ostervala,1971-08-13,
270,Rickard Rakell\rakelri01,2013,2020,RW,422,125,142,267,1,90,,,,,,,Sundbyberg,1993-05-05,
271,Victor Rask\raskvi01,2015,2020,C,396,69,107,176,-26,80,,,,,,,Leksand,1993-03-01,
272,Dennis Rasmussen\rasmude01,2016,2018,C,139,9,12,21,9,24,,,,,,,Vasteras,1990-07-03,
273,Mikael Renberg\renbemi01,1994,2004,RW,661,190,274,464,54,372,,,,,,,Pitea,1972-05-05,
274,Mattias Ritola\ritolma01,2008,2012,RW,43,4,5,9,-7,17,,,,,,,Borlange,1987-03-14,
275,Bert Robertsson\roberbe01,1998,2001,D,123,4,10,14,-9,75,,,,,,,Sodertalje,1974-06-30,
276,Anton Rodin\rodinan01,2017,2017,RW,3,0,1,1,1,0,,,,,,,Stockholm,1990-11-21,
277,Leif Rohlin\rohlile01,1996,1997,D,96,8,24,32,4,40,,,,,,,Vasteras,1968-02-26,
278,Jonas Ronnqvist\ronnqjo01,2001,2001,RW,38,0,4,4,-7,14,,,,,,,Kalix,1973-08-22,
279,Calle Rosen\rosenca01,2018,2020,D,16,1,3,4,-4,8,,,,,,,Vaxjo,1994-02-02,
280,Magnus Roupe\roupema01,1988,1989,LW,40,3,5,8,-5,42,,,,,,,Stockholm,1963-03-23,
281,David Rundblad\rundbda01,2012,2016,D,113,4,21,25,-6,30,,,,,,,Lycksele,1990-10-08,
282,Thomas Rundqvist\rundqth01,1985,1985,C,2,0,1,1,1,0,,,,,,,Vimmerby,1960-05-04,
283,Borje Salming*\salmibo01,1974,1990,D,1148,150,637,787,170,1344,,,,,,,Kiruna,1951-04-17,
284,Tommy Salo\saloto01,1995,2004,G,526,0,7,7,0,67,526,210,225,73,.905,2.55,Surahammar,1971-02-01,
285,Andreas Salomonsson\saloman01,2002,2003,RW,71,5,9,14,-13,36,,,,,,,Ornskoldsvik,1973-12-19,
286,Kjell Samuelsson\samuekj01,1986,1999,D,813,48,138,186,144,1225,,,,,,,Tingsryd,1958-10-18,
287,Martin Samuelsson\samuema01,2003,2004,RW,14,0,1,1,-2,2,,,,,,,Upplands-Vasby,1982-01-25,
288,Mikael Samuelsson\samuemi01,2001,2014,RW,699,149,197,346,50,370,,,,,,,Mariefred,1976-12-23,
289,Philip Samuelsson\samueph01,2014,2016,D,13,0,0,0,-4,2,,,,,,,Leksand,1991-07-26,
290,Ulf Samuelsson\samueul01,1985,2000,D,1080,57,275,332,173,2453,,,,,,,Fagersta,1964-03-26,
291,Rasmus Sandin\sandira01,2020,2020,D,6,0,2,2,0,2,,,,,,,Uppsala,2000-03-07,
292,Daniel Sedin\sedinda01,2001,2018,LW,1306,393,648,1041,147,546,,,,,,,Ornskoldsvik,1980-09-26,
293,Henrik Sedin\sedinhe01,2001,2018,C,1330,240,830,1070,165,680,,,,,,,Ornskoldsvik,1980-09-26,
294,Jakob Silfverberg\silfvja01,2013,2020,LW,534,132,148,280,39,156,,,,,,,Gavle,1990-10-13,
295,Lars-Erik Sjoberg\sjobela01,1980,1980,D,79,7,27,34,-33,48,,,,,,,Falun,1944-04-05,1987-10-20
296,Tommy Sjodin\sjodito01,1993,1994,D,106,8,40,48,-21,52,,,,,,,Timra,1965-08-13,
297,Fredrik Sjostrom\sjostfr01,2004,2011,RW,489,46,58,104,-37,190,,,,,,,Fargelanda,1983-05-06,
298,Carl Soderberg\soderca01,2013,2020,C,530,99,172,271,-20,184,,,,,,,Malmo,1985-10-12,
299,Tommy Soderstrom\soderto01,1993,1997,G,156,0,2,2,0,13,156,45,69,19,.884,3.63,Stockholm,1969-07-17,
300,Marcus Sorensen\sorenma01,2017,2020,RW,175,28,23,51,-7,52,,,,,,,Sodertalje,1992-04-07,
301,Viktor Stalberg\stalbvi01,2010,2017,LW,488,82,86,168,-6,245,,,,,,,Gothenburg,1986-01-17,
302,Anders Steen\steenan01,1981,1981,C,42,5,11,16,-22,22,,,,,,,Nykoping,1955-04-28,
303,Thomas Steen\steenth01,1982,1995,C,950,264,553,817,-69,753,,,,,,,Grums,1960-06-08,
304,Kevin Stenlund\stenlke01,2019,2020,C,18,3,2,5,-2,10,,,,,,,Huddinge,1996-09-20,
305,Ulf Sterner\sternul01,1965,1965,LW,4,0,0,0,0,0,,,,,,,Deje,1941-02-11,
306,Roland Stoltz\stoltro01,1982,1982,RW,14,2,2,4,-3,14,,,,,,,Oeverkalix,1954-08-15,
307,Anton Stralman\stralan01,2008,2020,D,794,51,207,258,68,261,,,,,,,Tibro,1986-08-01,
308,Niklas Sundblad\sundbni01,1996,1996,RW,2,0,0,0,0,0,,,,,,,Stockholm,1973-01-03,
309,Mats Sundin*\sundima01,1991,2009,C,1346,564,785,1349,73,1093,,,,,,,Bromma,1971-02-13,
310,Ronnie Sundin\sundiro01,1998,1998,D,1,0,0,0,0,0,,,,,,,Ludvika,1970-10-03,
311,Oskar Sundqvist\sundqos01,2016,2020,C,185,26,33,59,-4,62,,,,,,,Boden,1994-03-23,
312,Niklas Sundstrom\sundsni01,1996,2006,RW,750,117,232,349,45,256,,,,,,,Ornskoldsvik,1975-06-06,
313,Patrik Sundstrom\sundspa01,1983,1992,C,679,219,369,588,-24,349,,,,,,,Skelleftea,1961-12-14,
314,Peter Sundstrom\sundspe01,1984,1990,LW,338,61,83,144,-24,122,,,,,,,Skelleftea,1961-12-14,
315,Per Svartvadet\svartpe01,2000,2003,C,247,17,34,51,-37,58,,,,,,,Solleftea,1975-05-17,
316,Niklas Svedberg\svedbni01,2014,2015,G,19,0,0,0,0,0,19,8,5,1,.920,2.31,Sollentuna,1989-09-04,
317,Viktor Svedberg\svedbvi01,2016,2016,D,27,2,2,4,-5,4,,,,,,,Gothenburg,1991-05-24,
318,Leif Svensson\svensle01,1979,1980,D,121,6,40,46,-12,49,,,,,,,Harnosand,1951-07-08,
319,Magnus Svensson\svensma01,1995,1996,D,46,4,14,18,4,31,,,,,,,Tranas,1963-03-01,
320,Henrik Tallinder\tallihe01,2002,2014,D,678,28,114,142,8,378,,,,,,,Stockholm,1979-01-10,
321,Dick Tarnstrom\tarnsdi01,2002,2008,D,306,35,105,140,-86,254,,,,,,,Sundbyberg,1975-01-20,
322,Mattias Tedenby\tedenma01,2011,2014,LW,120,10,20,30,-20,42,,,,,,,Vetlanda,1990-02-21,
323,Mikael Tellqvist\tellqmi01,2003,2009,G,113,0,2,2,0,2,113,45,41,10,.898,3.01,Sundbyberg,1979-09-19,
324,Mats Thelin\thelima01,1985,1987,D,163,8,19,27,3,176,,,,,,,Stockholm,1961-03-30,
325,Michael Thelven\thelvmi01,1986,1990,D,207,20,80,100,29,217,,,,,,,Stockholm,1961-01-07,
326,Andreas Thuresson\thurean01,2010,2011,C,25,1,2,3,-6,6,,,,,,,Kristianstad,1987-11-18,
327,Mattias Timander\timanma01,1997,2004,D,419,13,57,70,-53,165,,,,,,,Solleftea,1974-04-16,
328,Daniel Tjarnqvist\tjarnda01,2002,2009,D,352,18,72,90,-53,130,,,,,,,Umea,1976-10-14,
329,Mathias Tjarnqvist\tjarnma01,2004,2008,RW,173,13,19,32,-8,60,,,,,,,Umea,1979-04-15,
330,Linus Ullmark\ullmali01,2016,2020,G,92,0,1,1,0,4,92,38,39,10,.910,2.85,Lugnvik,1993-07-31,
331,David Ullstrom\ullstda01,2012,2013,C,49,6,7,13,-4,12,,,,,,,Jonkoping,1989-04-22,
332,Alexander Urbom\urbomal01,2011,2014,D,34,3,1,4,-1,28,,,,,,,Stockholm,1990-12-20,
333,Lukas Vejdemo\vejdelu01,2020,2020,C,4,0,0,0,-1,0,,,,,,,Stockholm,1996-01-25,
334,Niclas Wallin\wallini01,2001,2011,D,614,21,58,79,-61,460,,,,,,,Boden,1975-02-20,
335,Peter Wallin\wallipe01,1981,1982,RW,52,3,14,17,2,14,,,,,,,Stockholm,1957-04-30,
336,Rickard Wallin\walliri01,2003,2010,C,79,8,11,19,-5,34,,,,,,,Stockholm,1980-04-19,
337,Lucas Wallmark\wallmlu01,2017,2020,C,146,21,31,52,-14,54,,,,,,,Umea,1995-09-05,
338,Tom Wandell\wandeto01,2009,2013,C,229,20,23,43,-9,52,,,,,,,Sodertalje,1987-01-29,
339,Anton Wedin\wedinan01,2020,2020,F,4,0,0,0,1,4,,,,,,,Sundsvall,1993-03-01,
340,Mattias Weinhandl\weinhma01,2003,2007,RW,182,19,37,56,1,70,,,,,,,Ljungby,1980-06-01,
341,Alexander Wennberg\wennbal01,2015,2020,C,403,38,157,195,6,83,,,,,,,Stockholm,1994-09-22,
342,Adam Werner\wernead01,2020,2020,G,2,0,0,0,0,0,2,1,1,0,.914,3.42,Mariestad,1997-05-02,
343,Tommy Westlund\westlto01,2000,2003,RW,203,9,13,22,-27,48,,,,,,,Fors,1974-12-29,
344,Johan Witehall\witehjo01,1999,2001,LW,54,2,5,7,-5,16,,,,,,,Gothenburg,1972-01-07,
345,Henrik Zetterberg\zettehe01,2003,2018,LW,1082,337,623,960,160,401,,,,,,,Njurunda,1980-10-09,
346,Lars Zetterstrom\zettela01,1979,1979,D,14,0,1,1,-10,2,,,,,,,Stockholm,1953-11-06,
347,Mika Zibanejad\zibanmi01,2012,2020,C,523,152,192,344,-36,149,,,,,,,Huddinge,1993-04-18,
