,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
53,Ulf Dahlen\dahleul01,1988,2003,LW,966,301,354,655,-20,230,,,,,,,Ostersund,1967-01-12,
54,Kjell Dahlin\dahlikj01,1986,1988,RW,166,57,59,116,11,10,,,,,,,Timra,1963-02-02,
55,Rasmus Dahlin\dahlira01,2019,2020,D,120,11,59,70,-16,58,,,,,,,Lidkoping,2000-04-13,
56,Carl Dahlstrom\dahlsca01,2018,2020,D,63,0,9,9,2,10,,,,,,,Stockholm,1995-01-28,
57,Oscar Dansk\danskos01,2018,2020,G,5,0,0,0,0,0,5,3,1,0,.915,2.89,Stockholm,1994-02-28,
58,Johan Davidsson\davidjo02,1999,2000,C,83,6,9,15,-9,16,,,,,,,Jonkoping,1976-01-06,
59,Jonathan Davidsson\davidjo03,2020,2020,RW,6,0,1,1,0,0,,,,,,,Tyreso,1997-03-12,
60,Jacob de La Rose\delarja01,2015,2020,LW,221,13,24,37,-24,73,,,,,,,Arvika,1995-05-20,
61,Christian Djoos\djoosch01,2018,2020,D,110,4,20,24,23,14,,,,,,,Gothenburg,1994-08-06,
62,Per Djoos\djoospe01,1991,1993,D,82,2,31,33,5,58,,,,,,,Mora,1968-05-11,
63,Rolf Edberg\edberro01,1979,1981,C,184,45,58,103,10,24,,,,,,,Stockholm,1950-09-29,
64,Alexander Edler\edleral01,2007,2020,D,850,98,290,388,-34,585,,,,,,,Ostersund,1986-04-21,
65,Christoffer Ehn\ehnch01,2019,2020,C,94,4,6,10,-20,8,,,,,,,Skara,1996-04-04,
66,Victor Ejdsell\ejdsevi01,2018,2018,C,6,0,1,1,-1,0,,,,,,,Karlstad,1995-06-06,
67,Mattias Ekholm\ekholma01,2012,2020,D,513,42,146,188,75,259,,,,,,,Borlange,1990-05-24,
68,Pelle Eklund\eklunpe01,1986,1994,C,594,120,335,455,11,109,,,,,,,Stockholm,1963-03-22,
69,Nils Ekman\ekmanni01,2000,2007,LW,264,60,91,151,13,188,,,,,,,Stockholm,1976-03-11,
70,Oliver Ekman-Larsson\ekmanol01,2011,2020,D,705,121,233,354,-85,436,,,,,,,Karlskrona,1991-07-17,
71,Anders Eldebrink\eldeban01,1982,1983,D,55,3,11,14,-4,29,,,,,,,Kalix,1960-12-11,
72,Andreas Englund\engluan01,2017,2020,D,21,0,2,2,-9,24,,,,,,,Stockholm,1996-01-21,
73,Andreas Engqvist\engqvan01,2011,2012,C,15,0,0,0,-1,4,,,,,,,Stockholm,1987-12-23,
