,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
1,Peter Cehlarik\cehlape01,2017,2020,LW,40,5,6,11,4,10,,,,,,,Zilina,1995-08-02,
2,Erik Cernak\cernaer01,2019,2020,D,100,8,16,24,29,85,,,,,,,Kosice,1997-05-28,
3,Martin Fehervary\feherma01,2020,2020,D,3,0,0,0,0,2,,,,,,,Bratislava,1999-10-06,
4,Christian Jaros\jarosch01,2018,2020,D,69,1,11,12,-16,31,,,,,,,Kosice,1996-04-02,
