,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
Rk,Player,From,To,Pos,GP,G,A,PTS,+/-,PIM,GP,W,L,T/O,SV%,GAA,Birth City,Birth Date,Death Date
53,Jesse Joensuu\joensje01,2009,2015,LW,129,13,11,24,-25,77,,,,,,,Pori,1987-10-05,
54,Mikko Jokela\jokelmi01,2003,2003,D,1,0,0,0,0,0,,,,,,,Lappeenranta,1980-03-04,
55,Henri Jokiharju\jokihhe01,2019,2020,D,84,4,20,24,-8,44,,,,,,,Oulu,1999-06-17,
56,Jussi Jokinen\jokinju01,2006,2018,C,951,191,372,563,7,377,,,,,,,Kalajoki,1983-04-01,
57,Olli Jokinen\jokinol01,1998,2015,C,1231,321,429,750,-132,1071,,,,,,,Kuopio,1978-12-05,
58,Jyrki Jokipakka\jokipjy01,2015,2017,D,150,3,25,28,-2,34,,,,,,,Tampere,1991-08-20,
59,Timo Jutila\jutilti01,1985,1985,D,10,1,5,6,-5,13,,,,,,,Tampere,1963-12-24,
60,Jari Kaarela\kaareja01,1981,1981,G,5,0,0,0,0,2,5,2,2,0,.809,6.00,Tampere,1958-08-08,
61,Kaapo Kahkonen\kahkoka01,2020,2020,G,5,0,0,0,0,0,5,3,1,1,.913,2.96,Helsinki,1996-08-16,
62,Kaapo Kakko\kakkoka01,2020,2020,RW,41,7,9,16,-17,12,,,,,,,Turku,2001-02-13,
63,Tomi Kallio\kallito01,2001,2003,LW,140,24,31,55,-21,48,,,,,,,Turku,1977-01-27,
64,Hannu Kamppuri\kamppha01,1985,1985,G,13,0,1,1,0,2,13,1,10,1,.845,5.11,Helsinki,1957-06-01,
65,Kasperi Kapanen\kapanka01,2016,2020,RW,179,38,44,82,7,39,,,,,,,Kuopio,1996-07-23,
66,Niko Kapanen\kapanni01,2002,2008,C,397,36,90,126,-25,160,,,,,,,Hameenlinna,1978-04-29,
67,Sami Kapanen\kapansa01,1996,2008,RW,831,189,269,458,-30,175,,,,,,,Vantaa,1973-06-14,
68,Jere Karalahti\karalje01,2000,2002,D,149,8,19,27,5,97,,,,,,,Helsinki,1975-03-25,
69,Kasimir Kaskisuo\kaskika01,2020,2020,G,1,0,0,0,,0,1,0,1,0,.842,6.00,Vantaa,1993-10-02,
70,Jarmo Kekalainen\kekalja01,1990,1994,LW,55,5,8,13,-6,28,,,,,,,Tampere,1966-07-03,
71,Joonas Kemppainen\kemppjo01,2016,2016,LW,44,2,3,5,-6,4,,,,,,,Kajaani,1988-04-07,
72,Veli-Pekka Ketola\ketolve01,1982,1982,C,44,9,5,14,-17,4,,,,,,,Pori,1948-03-28,
73,Marko Kiprusoff\kipruma01,1996,2002,D,51,0,10,10,-3,12,,,,,,,Turku,1972-06-06,
74,Miikka Kiprusoff\kiprumi01,2001,2013,G,623,0,10,10,0,47,623,319,213,71,.912,2.49,Turku,1976-10-26,
75,Joel Kiviranta\kivirjo01,2020,2020,F,4,0,0,0,0,0,,,,,,,Vantaa,1996-03-23,
76,Ville Koistinen\koistvi01,2008,2010,D,103,8,24,32,14,40,,,,,,,Oulu,1982-06-17,
77,Tom Koivisto\koivito01,2003,2003,D,22,2,4,6,1,10,,,,,,,Turku,1974-06-04,
78,Mikko Koivu\koivumi01,2006,2020,C,1006,203,498,701,68,576,,,,,,,Turku,1983-03-12,
79,Saku Koivu\koivusa01,1996,2014,C,1124,255,577,832,10,809,,,,,,,Turku,1974-11-23,
80,Otto Koivula\koivuot01,2020,2020,LW,6,0,0,0,0,2,,,,,,,Nokia,1998-09-01,
81,Lauri Korpikoski\korpila01,2009,2017,LW,609,86,115,201,-49,132,,,,,,,Turku,1986-07-28,
82,Joonas Korpisalo\korpijo01,2016,2020,G,122,0,1,1,0,2,122,58,41,13,.908,2.78,Pori,1994-04-28,
83,Mikko Koskinen\koskimi01,2011,2020,G,86,0,2,2,0,2,86,41,31,8,.906,2.98,Vantaa,1988-07-18,
84,Kalle Kossila\kossika01,2017,2019,LW,19,2,1,3,-5,4,,,,,,,Kauniainen,1993-04-14,
85,Jesperi Kotkaniemi\kotkaje01,2019,2020,C,111,17,25,42,-9,30,,,,,,,Pori,2000-07-06,
86,Lasse Kukkonen\kukkola01,2004,2009,D,159,6,16,22,3,90,,,,,,,Oulu,1981-09-18,
87,Jarno Kultanen\kultaja01,2001,2003,D,102,2,11,13,-3,59,,,,,,,Luumaki,1973-01-08,
88,Janne Kuokkanen\kuokkja01,2018,2019,C/LW,11,0,0,0,-5,4,,,,,,,Oulunsalo,1998-05-25,
89,Jari Kurri*\kurrija01,1981,1998,RW,1251,601,797,1398,304,545,,,,,,,Helsinki,1960-05-18,
90,Markku Kyllonen\kylloma01,1989,1989,RW,9,0,2,2,-3,2,,,,,,,Pielisjarvi,1962-02-15,
91,Teemu Laakso\laakste01,2010,2012,D,17,0,0,0,-3,10,,,,,,,Tuusula,1987-08-27,
92,Antti Laaksonen\laaksan01,1999,2007,LW,483,81,87,168,-11,152,,,,,,,Tammela,1973-10-03,
93,Patrik Laine\lainepa01,2017,2020,RW,281,125,100,225,-1,106,,,,,,,Tampere,1998-04-19,
94,Juho Lammikko\lammiju01,2019,2019,RW,40,0,6,6,-7,6,,,,,,,Noormarkku,1996-01-29,
95,Janne Laukkanen\laukkja01,1995,2003,D,407,22,99,121,-3,335,,,,,,,Lahti,1970-03-19,
96,Artturi Lehkonen\lehkoar01,2017,2020,LW,268,51,51,102,4,78,,,,,,,Piikkio,1995-07-04,
97,Jori Lehtera\lehtejo01,2015,2019,C,307,34,77,111,12,167,,,,,,,Helsinki,1987-12-23,
98,Jere Lehtinen\lehtije01,1996,2010,RW,875,243,271,514,176,210,,,,,,,Espoo,1973-06-24,
99,Petteri Lehto\lehtope01,1985,1985,D,6,0,0,0,-4,4,,,,,,,Turku,1961-03-13,
100,Antero Lehtonen\lehtoan01,1980,1980,LW,65,9,12,21,-3,14,,,,,,,Tampere,1954-04-12,
101,Kari Lehtonen\lehtoka01,2004,2018,G,649,0,28,28,0,42,649,310,233,67,.912,2.71,Helsinki,1983-11-16,
102,Mikko Lehtonen\lehtomi01,2007,2007,D,15,1,2,3,0,8,,,,,,,Oulu,1978-06-12,
103,Mikko Lehtonen\lehtomi02,2009,2010,RW,2,0,0,0,-1,0,,,,,,,Espoo,1987-04-01,
104,Ville Leino\leinovi01,2009,2014,LW,286,40,79,119,-7,70,,,,,,,Savonlinna,1983-10-06,
105,Mikko Leinonen\leinomi01,1982,1985,C,162,31,78,109,19,71,,,,,,,Tampere,1955-07-15,
