,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,,,Special Teams,Special Teams,,Assists,Assists,Assists,Shot Data,Shot Data,Ice Time,Ice Time
Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI
37,Peter Bartos\bartope01,27,MIN,RW,13,4,2,6,2,6,0.9,3,1,0,1,1,1,0,18,22.2,180,13:50
38,Andrei Bashkirov\bashkan01,30,MTL,LW,18,0,3,3,-2,0,-0.1,0,0,0,0,3,0,0,22,0.0,210,11:41
39,Shawn Bates\batessh01,25,BOS,C,45,2,3,5,-12,26,-0.5,2,0,0,0,1,2,0,59,3.4,419,9:19
40,Bates Battaglia\battaba01,25,CAR,LW,80,12,15,27,-14,76,1.9,10,2,0,3,14,1,0,133,9.0,1157,14:28
41,Nolan Baumgartner\baumgno01,24,CHI,D,8,0,0,0,-4,6,-0.2,0,0,0,0,0,0,0,7,0.0,101,12:40
42,Kris Beech\beechkr01,19,WSH,C,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,0,,30,7:29
43,Steve Begin\beginst01,22,CGY,C,4,0,0,0,0,21,0.0,0,0,0,0,0,0,0,3,0.0,24,6:04
44,Wade Belak\belakwa01,24,TOT,D,39,1,1,2,-6,110,0.3,1,0,0,0,1,0,0,16,6.3,377,9:40
44,Wade Belak\belakwa01,24,CGY,D,23,0,0,0,-2,79,0.1,0,0,0,0,0,0,0,8,0.0,159,6:54
44,Wade Belak\belakwa01,24,TOR,D,16,1,1,2,-4,31,0.2,1,0,0,0,1,0,0,8,12.5,218,13:38
45,Eric Belanger\belaner01,23,LAK,C,62,9,12,21,14,16,2.0,6,1,2,1,11,1,0,80,11.3,832,13:25
46,Francis Belanger\belanfr01,23,MTL,LW,10,0,0,0,-3,29,-0.2,0,0,0,0,0,0,0,2,0.0,45,4:30
47,Jesse Belanger\belanje01,31,NYI,C,12,0,0,0,-5,2,-0.3,0,0,0,0,0,0,0,7,0.0,70,5:52
48,Ken Belanger\belanke01,26,BOS,LW,40,2,2,4,-6,121,-0.1,2,0,0,1,2,0,0,35,5.7,284,7:06
49,Mark Bell\bellma01,20,CHI,C,13,0,1,1,0,4,-0.1,0,0,0,0,1,0,0,14,0.0,156,12:00
50,Ladislav Benysek\benysla01,25,MIN,D,71,2,5,7,-11,38,2.3,1,1,0,0,3,2,0,48,4.2,1307,18:25
51,Josef Beranek\beranjo01,31,PIT,LW,70,9,14,23,-7,43,0.8,7,2,0,2,10,4,0,152,5.9,1011,14:27
52,Drake Berehowsky\berehdr01,29,TOT,D,80,7,19,26,-9,121,5.3,3,4,0,1,7,12,0,107,6.5,1668,20:51
52,Drake Berehowsky\berehdr01,29,NSH,D,66,6,18,24,-9,100,4.8,3,3,0,1,6,12,0,94,6.4,1428,21:38
52,Drake Berehowsky\berehdr01,29,VAN,D,14,1,1,2,0,21,0.5,0,1,0,0,1,0,0,13,7.7,240,17:10
53,Bubba Berenzweig\berenbu01,23,NSH,D,5,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,,60,11:57
54,Sergei Berezin\berezse01,29,TOR,LW,79,22,28,50,2,8,5.3,12,10,0,3,23,5,0,256,8.6,1239,15:41
55,Aki Berg\bergak01,23,TOT,D,59,3,4,7,-3,45,1.5,0,3,0,1,4,0,0,43,7.0,919,15:34
55,Aki Berg\bergak01,23,LAK,D,47,0,4,4,3,43,1.1,0,0,0,0,4,0,0,31,0.0,700,14:54
55,Aki Berg\bergak01,23,TOR,D,12,3,0,3,-6,2,0.4,0,3,0,1,0,0,0,12,25.0,219,18:13
56,Marc Bergevin\bergema01,35,TOT,D,38,1,4,5,6,26,1.1,1,0,0,0,4,0,0,12,8.3,640,16:50
56,Marc Bergevin\bergema01,35,PIT,D,36,1,4,5,5,26,1.0,1,0,0,0,4,0,0,11,9.1,610,16:57
56,Marc Bergevin\bergema01,35,STL,D,2,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0.0,30,14:51
57,Rick Berry\berryri01,22,COL,D,19,0,4,4,5,38,1.0,0,0,0,0,4,0,0,10,0.0,231,12:08
58,Eric Bertrand\bertrer01,25,MTL,LW,3,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,13,4:20
59,Todd Bertuzzi\bertuto01,25,VAN,LW,79,25,30,55,-18,93,5.2,11,14,0,3,20,10,0,203,12.3,1360,17:13
60,Craig Berube\berubcr01,35,TOT,LW,60,0,3,3,-8,72,-0.6,0,0,0,0,3,0,0,35,0.0,352,5:52
60,Craig Berube\berubcr01,35,NYI,LW,38,0,2,2,-5,54,-0.3,0,0,0,0,2,0,0,27,0.0,229,6:02
60,Craig Berube\berubcr01,35,WSH,LW,22,0,1,1,-3,18,-0.2,0,0,0,0,1,0,0,8,0.0,123,5:34
61,Radim Bicanek\bicanra01,26,CBJ,D,9,0,2,2,1,6,0.5,0,0,0,0,2,0,0,11,0.0,154,17:08
62,Jiri Bicek\bicekji01,22,NJD,LW,5,1,0,1,0,4,0.1,1,0,0,0,0,0,0,10,10.0,65,13:04
63,Mathieu Biron\bironma02,20,NYI,D,14,0,1,1,2,12,0.5,0,0,0,0,1,0,0,10,0.0,173,12:21
64,James Black\blackja01,31,WSH,LW,42,1,5,6,-3,4,0.0,1,0,0,0,5,0,0,34,2.9,381,9:04
65,Jason Blake\blakeja01,27,TOT,C,47,5,11,16,-20,34,0.3,3,1,1,0,7,4,0,100,5.0,642,13:40
65,Jason Blake\blakeja01,27,NYI,C,30,4,8,12,-12,24,0.5,2,1,1,0,5,3,0,73,5.5,471,15:43
65,Jason Blake\blakeja01,27,LAK,C,17,1,3,4,-8,10,-0.1,1,0,0,0,2,1,0,27,3.7,171,10:03
66,Rob Blake*\blakero01,31,TOT,D,67,19,40,59,3,77,9.5,9,10,0,2,20,19,1,267,7.1,1860,27:46
66,Rob Blake*\blakero01,31,LAK,D,54,17,32,49,-8,69,7.2,8,9,0,1,14,17,1,223,7.6,1522,28:11
66,Rob Blake*\blakero01,31,COL,D,13,2,8,10,11,8,2.3,1,1,0,1,6,2,0,44,4.5,339,26:03
67,Sylvain Blouin\blouisy01,26,MIN,LW,41,3,2,5,-5,117,0.1,3,0,0,0,2,0,0,37,8.1,406,9:54
68,Eric Boguniecki\boguner01,25,STL,C,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,13:44
69,Alexandre Boikov\boikoal01,25,NSH,D,8,0,0,0,-1,13,0.0,0,0,0,0,0,0,0,3,0.0,50,6:18
70,Brad Bombardir\bombabr01,28,MIN,D,70,0,15,15,-6,42,3.5,0,0,0,0,10,3,2,81,0.0,1458,20:50
71,Peter Bondra\bondrpe01,32,WSH,LW,82,45,36,81,8,60,10.3,19,22,4,8,24,11,1,305,14.8,1705,20:48
72,Brian Bonin\boninbr01,27,MIN,LW,7,0,0,0,-3,0,-0.2,0,0,0,0,0,0,0,7,0.0,68,9:46
73,Radek Bonk\bonkra01,25,OTT,C,74,23,36,59,27,52,7.0,16,5,2,3,22,12,2,139,16.5,1352,18:16
74,Dennis Bonvie\bonvide01,27,PIT,RW,3,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,10,3:30
75,Sebastien Bordeleau\bordese01,25,NSH,C,14,2,3,5,-4,14,0.3,2,0,0,0,3,0,0,20,10.0,177,12:40
76,Joel Bouchard\bouchjo01,27,PHX,D,32,1,2,3,-8,22,0.3,1,0,0,0,2,0,0,26,3.8,463,14:28
77,Philippe Boucher\bouchph01,27,LAK,D,22,2,4,6,4,20,1.4,0,2,0,0,3,1,0,40,5.0,405,18:25
78,Tyler Bouck\bouckty01,21,DAL,LW,48,2,5,7,-3,29,0.1,2,0,0,1,5,0,0,41,4.9,431,8:59
79,Bob Boughner\boughbo01,29,PIT,D,58,1,3,4,18,147,1.9,1,0,0,0,3,0,0,46,2.2,957,16:30
80,Francis Bouillon\bouilfr01,25,MTL,D,29,0,6,6,3,26,1.4,0,0,0,0,2,4,0,24,0.0,389,13:24
81,Eric Boulton\boulter01,24,BUF,LW,35,1,2,3,-1,94,0.1,1,0,0,0,2,0,0,20,5.0,199,5:42
